SENSOR  BOILER
------  ------
23      OFF 
23          ON 
25          ON 
25          ON 
26          ON 
26          ON 
29          ON 
29          ON 
30          ON 
30      OFF 
31      OFF 
31      OFF 
32      OFF 
32      OFF 
28      OFF 
28      OFF 
26      OFF 
26      OFF 
25      OFF 
25          ON 
24          ON 
24          ON 
23          ON 
23          ON 
22          ON 
22          ON 
21          ON 
21          ON 
18          ON 
18          ON 
17          ON 
17          ON 
19          ON 
19          ON 
22          ON 
22          ON 
23          ON 
23          ON 
26          ON 
26          ON 
29          ON 
29          ON 
32          ON 
32      OFF 
33      OFF 
33      OFF 
32      OFF 
32      OFF 
31      OFF 
31      OFF 
29      OFF 
29      OFF 
